position_id,x,y,z,hour,utci,mrt,air_temp,wind_speed,relative_humidity,comfort_category,datetime
position_0,-2470.81,-619.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_1,-2470.81,-609.8652,1.5,13,37.4,56.322034673125664,34.4,5.1,41,hot,2017-08-15 13:00:00
position_2,-2470.81,-599.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_3,-2470.81,-589.8652,1.5,13,37.3,56.011726517427306,34.4,5.1,41,hot,2017-08-15 13:00:00
position_4,-2470.81,-579.8652,1.5,13,37.3,56.01850749523485,34.4,5.1,41,hot,2017-08-15 13:00:00
position_5,-2470.81,-569.8652,1.5,13,36.9,53.96675784838742,34.4,5.1,41,hot,2017-08-15 13:00:00
position_6,-2470.81,-559.8652,1.5,13,35.1,45.700658211435815,34.4,5.1,41,hot,2017-08-15 13:00:00
position_7,-2470.81,-549.8652,1.5,13,35.8,49.243007609083165,34.4,5.1,41,hot,2017-08-15 13:00:00
position_8,-2470.81,-539.8652,1.5,13,36.2,50.934937837849986,34.4,5.1,41,hot,2017-08-15 13:00:00
position_9,-2470.81,-529.8652,1.5,13,36.5,52.194574503031596,34.4,5.1,41,hot,2017-08-15 13:00:00
position_10,-2470.81,-519.8652,1.5,13,36.3,51.19649209213768,34.4,5.1,41,hot,2017-08-15 13:00:00
position_11,-2470.81,-509.86519999999996,1.5,13,36.8,53.666468299492976,34.4,5.1,41,hot,2017-08-15 13:00:00
position_12,-2470.81,-499.86519999999996,1.5,13,36.7,53.266037472266504,34.4,5.1,41,hot,2017-08-15 13:00:00
position_13,-2470.81,-489.86519999999996,1.5,13,36.6,52.941830662644904,34.4,5.1,41,hot,2017-08-15 13:00:00
position_14,-2470.81,-479.86519999999996,1.5,13,36.1,50.30367599059494,34.4,5.1,41,hot,2017-08-15 13:00:00
position_15,-2470.81,-469.86519999999996,1.5,13,35.1,45.80122776851648,34.4,5.1,41,hot,2017-08-15 13:00:00
position_16,-2470.81,-459.86519999999996,1.5,13,35.1,45.654363060961316,34.4,5.1,41,hot,2017-08-15 13:00:00
position_17,-2470.81,-449.86519999999996,1.5,13,35.9,49.69715698307095,34.4,5.1,41,hot,2017-08-15 13:00:00
position_18,-2470.81,-439.86519999999996,1.5,13,36.2,50.94179558401483,34.4,5.1,41,hot,2017-08-15 13:00:00
position_19,-2470.81,-429.86519999999996,1.5,13,35.1,45.686927906666654,34.4,5.1,41,hot,2017-08-15 13:00:00
position_20,-2470.81,-419.86519999999996,1.5,13,35.9,49.465348434320056,34.4,5.1,41,hot,2017-08-15 13:00:00
position_21,-2470.81,-409.86519999999996,1.5,13,36.4,52.00424777667613,34.4,5.1,41,hot,2017-08-15 13:00:00
position_22,-2470.81,-399.86519999999996,1.5,13,36.9,54.32537459450898,34.4,5.1,41,hot,2017-08-15 13:00:00
position_23,-2470.81,-389.86519999999996,1.5,13,37.0,54.77049389463387,34.4,5.1,41,hot,2017-08-15 13:00:00
position_24,-2470.81,-379.86519999999996,1.5,13,36.9,54.170220516659796,34.4,5.1,41,hot,2017-08-15 13:00:00
position_25,-2470.81,-369.86519999999996,1.5,13,36.9,54.31164428973981,34.4,5.1,41,hot,2017-08-15 13:00:00
position_26,-2470.81,-359.86519999999996,1.5,13,36.9,54.13926234853053,34.4,5.1,41,hot,2017-08-15 13:00:00
position_27,-2470.81,-349.86519999999996,1.5,13,36.7,53.23205581451519,34.4,5.1,41,hot,2017-08-15 13:00:00
position_28,-2470.81,-339.86519999999996,1.5,13,35.3,46.597677789493176,34.4,5.1,41,hot,2017-08-15 13:00:00
position_29,-2470.81,-329.86519999999996,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_30,-2470.81,-319.86519999999996,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_31,-2470.81,-309.86519999999996,1.5,13,36.6,52.91948755854276,34.4,5.1,41,hot,2017-08-15 13:00:00
position_32,-2470.81,-299.86519999999996,1.5,13,37.1,54.92547962332898,34.4,5.1,41,hot,2017-08-15 13:00:00
position_33,-2470.81,-289.86519999999996,1.5,13,37.1,55.08080205033223,34.4,5.1,41,hot,2017-08-15 13:00:00
position_34,-2470.81,-279.86519999999996,1.5,13,36.9,53.9669261975415,34.4,5.1,41,hot,2017-08-15 13:00:00
position_35,-2470.81,-269.86519999999996,1.5,13,36.6,52.61130213245776,34.4,5.1,41,hot,2017-08-15 13:00:00
position_36,-2470.81,-259.86519999999996,1.5,13,36.3,51.42236295166541,34.4,5.1,41,hot,2017-08-15 13:00:00
position_37,-2470.81,-249.86519999999996,1.5,13,36.3,51.228461898005406,34.4,5.1,41,hot,2017-08-15 13:00:00
position_38,-2470.81,-239.86519999999996,1.5,13,36.6,52.68241240652714,34.4,5.1,41,hot,2017-08-15 13:00:00
position_39,-2470.81,-229.86519999999996,1.5,13,36.7,53.11109753379165,34.4,5.1,41,hot,2017-08-15 13:00:00
position_40,-2470.81,-219.86519999999996,1.5,13,35.2,46.39266972293348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_41,-2470.81,-209.86519999999996,1.5,13,35.2,46.2684170184183,34.4,5.1,41,hot,2017-08-15 13:00:00
position_42,-2470.81,-199.86519999999996,1.5,13,36.2,50.7992104439899,34.4,5.1,41,hot,2017-08-15 13:00:00
position_43,-2470.81,-189.86519999999996,1.5,13,40.3,69.4455183579483,34.4,5.1,41,very_hot,2017-08-15 13:00:00
position_44,-2460.81,-619.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_45,-2460.81,-609.8652,1.5,13,37.4,56.322034673125664,34.4,5.1,41,hot,2017-08-15 13:00:00
position_46,-2460.81,-599.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_47,-2460.81,-589.8652,1.5,13,37.3,56.166880595276496,34.4,5.1,41,hot,2017-08-15 13:00:00
position_48,-2460.81,-579.8652,1.5,13,37.1,55.26308003941159,34.4,5.1,41,hot,2017-08-15 13:00:00
position_49,-2460.81,-569.8652,1.5,13,36.1,50.58337748855535,34.4,5.1,41,hot,2017-08-15 13:00:00
position_50,-2460.81,-559.8652,1.5,13,34.7,43.623095072524244,34.4,5.1,41,hot,2017-08-15 13:00:00
position_51,-2460.81,-549.8652,1.5,13,36.6,52.88712358294255,34.4,5.1,41,hot,2017-08-15 13:00:00
position_52,-2460.81,-539.8652,1.5,13,36.6,52.921441939002044,34.4,5.1,41,hot,2017-08-15 13:00:00
position_53,-2460.81,-529.8652,1.5,13,35.3,46.69626035430496,34.4,5.1,41,hot,2017-08-15 13:00:00
position_54,-2460.81,-519.8652,1.5,13,35.3,46.66678408501859,34.4,5.1,41,hot,2017-08-15 13:00:00
position_55,-2460.81,-509.86519999999996,1.5,13,35.7,48.61973770502157,34.4,5.1,41,hot,2017-08-15 13:00:00
position_56,-2460.81,-499.86519999999996,1.5,13,34.7,43.92930995173978,34.4,5.1,41,hot,2017-08-15 13:00:00
position_57,-2460.81,-489.86519999999996,1.5,13,34.7,43.818630207414714,34.4,5.1,41,hot,2017-08-15 13:00:00
position_58,-2460.81,-479.86519999999996,1.5,13,34.1,40.76266398504893,34.4,5.1,41,hot,2017-08-15 13:00:00
position_59,-2460.81,-469.86519999999996,1.5,13,33.1,36.10707734486935,34.4,5.1,41,hot,2017-08-15 13:00:00
position_60,-2460.81,-459.86519999999996,1.5,13,34.5,42.85297908014248,34.4,5.1,41,hot,2017-08-15 13:00:00
position_61,-2460.81,-449.86519999999996,1.5,13,35.1,45.63926241135175,34.4,5.1,41,hot,2017-08-15 13:00:00
position_62,-2460.81,-439.86519999999996,1.5,13,34.7,43.84068688899136,34.4,5.1,41,hot,2017-08-15 13:00:00
position_63,-2460.81,-429.86519999999996,1.5,13,34.7,43.96094441398268,34.4,5.1,41,hot,2017-08-15 13:00:00
position_64,-2460.81,-419.86519999999996,1.5,13,35.2,46.03177956201754,34.4,5.1,41,hot,2017-08-15 13:00:00
position_65,-2460.81,-409.86519999999996,1.5,13,36.2,50.89391527269657,34.4,5.1,41,hot,2017-08-15 13:00:00
position_66,-2460.81,-399.86519999999996,1.5,13,36.6,52.96967376071163,34.4,5.1,41,hot,2017-08-15 13:00:00
position_67,-2460.81,-389.86519999999996,1.5,13,36.6,52.659365605013285,34.4,5.1,41,hot,2017-08-15 13:00:00
position_68,-2460.81,-379.86519999999996,1.5,13,36.6,52.659365605013285,34.4,5.1,41,hot,2017-08-15 13:00:00
position_69,-2460.81,-369.86519999999996,1.5,13,36.4,52.00774533526707,34.4,5.1,41,hot,2017-08-15 13:00:00
position_70,-2460.81,-359.86519999999996,1.5,13,36.0,50.15823638708737,34.4,5.1,41,hot,2017-08-15 13:00:00
position_71,-2460.81,-349.86519999999996,1.5,13,36.0,50.02443307289115,34.4,5.1,41,hot,2017-08-15 13:00:00
position_72,-2460.81,-339.86519999999996,1.5,13,35.8,49.06242787873298,34.4,5.1,41,hot,2017-08-15 13:00:00
position_73,-2460.81,-329.86519999999996,1.5,13,35.5,47.831213862743475,34.4,5.1,41,hot,2017-08-15 13:00:00
position_74,-2460.81,-319.86519999999996,1.5,13,35.7,48.448852474738366,34.4,5.1,41,hot,2017-08-15 13:00:00
position_75,-2460.81,-309.86519999999996,1.5,13,36.4,51.714450903554486,34.4,5.1,41,hot,2017-08-15 13:00:00
position_76,-2460.81,-299.86519999999996,1.5,13,36.8,53.70458993395818,34.4,5.1,41,hot,2017-08-15 13:00:00
position_77,-2460.81,-289.86519999999996,1.5,13,36.8,53.738663172149984,34.4,5.1,41,hot,2017-08-15 13:00:00
position_78,-2460.81,-279.86519999999996,1.5,13,36.1,50.44352787174407,34.4,5.1,41,hot,2017-08-15 13:00:00
position_79,-2460.81,-269.86519999999996,1.5,13,34.5,42.79617793866224,34.4,5.1,41,hot,2017-08-15 13:00:00
position_80,-2460.81,-259.86519999999996,1.5,13,35.5,47.71937057656898,34.4,5.1,41,hot,2017-08-15 13:00:00
position_81,-2460.81,-249.86519999999996,1.5,13,35.9,49.64683273325602,34.4,5.1,41,hot,2017-08-15 13:00:00
position_82,-2460.81,-239.86519999999996,1.5,13,36.3,51.203338157454745,34.4,5.1,41,hot,2017-08-15 13:00:00
position_83,-2460.81,-229.86519999999996,1.5,13,36.5,52.52455446058673,34.4,5.1,41,hot,2017-08-15 13:00:00
position_84,-2460.81,-219.86519999999996,1.5,13,35.2,46.438186672333124,34.4,5.1,41,hot,2017-08-15 13:00:00
position_85,-2460.81,-209.86519999999996,1.5,13,32.9,35.31058153367243,34.4,5.1,41,hot,2017-08-15 13:00:00
position_86,-2460.81,-199.86519999999996,1.5,13,33.9,39.78902091458324,34.4,5.1,41,hot,2017-08-15 13:00:00
position_87,-2460.81,-189.86519999999996,1.5,13,39.9,67.7556230862188,34.4,5.1,41,very_hot,2017-08-15 13:00:00
position_88,-2450.81,-619.8652,1.5,13,37.4,56.48396972878238,34.4,5.1,41,hot,2017-08-15 13:00:00
position_89,-2450.81,-609.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_90,-2450.81,-599.8652,1.5,13,37.3,56.18044255089156,34.4,5.1,41,hot,2017-08-15 13:00:00
position_91,-2450.81,-589.8652,1.5,13,37.2,55.418234117260766,34.4,5.1,41,hot,2017-08-15 13:00:00
position_92,-2450.81,-579.8652,1.5,13,37.1,55.26308003941159,34.4,5.1,41,hot,2017-08-15 13:00:00
position_93,-2450.81,-569.8652,1.5,13,36.9,54.13231302156891,34.4,5.1,41,hot,2017-08-15 13:00:00
position_94,-2450.81,-559.8652,1.5,13,36.8,53.680489512350064,34.4,5.1,41,hot,2017-08-15 13:00:00
position_95,-2450.81,-549.8652,1.5,13,37.2,55.5666072173024,34.4,5.1,41,hot,2017-08-15 13:00:00
position_96,-2450.81,-539.8652,1.5,13,37.1,55.10114498375487,34.4,5.1,41,hot,2017-08-15 13:00:00
position_97,-2450.81,-529.8652,1.5,13,36.5,52.42861067635665,34.4,5.1,41,hot,2017-08-15 13:00:00
position_98,-2450.81,-519.8652,1.5,13,35.6,48.03203326487173,34.4,5.1,41,hot,2017-08-15 13:00:00
position_99,-2450.81,-509.86519999999996,1.5,13,35.7,48.63345252072221,34.4,5.1,41,hot,2017-08-15 13:00:00
position_100,-2450.81,-499.86519999999996,1.5,13,35.7,48.3318007337088,34.4,5.1,41,hot,2017-08-15 13:00:00
position_101,-2450.81,-489.86519999999996,1.5,13,35.8,48.90273743392549,34.4,5.1,41,hot,2017-08-15 13:00:00
position_102,-2450.81,-479.86519999999996,1.5,13,34.7,43.661219837155926,34.4,5.1,41,hot,2017-08-15 13:00:00
position_103,-2450.81,-469.86519999999996,1.5,13,32.9,35.00705435578162,34.4,5.1,41,hot,2017-08-15 13:00:00
position_104,-2450.81,-459.86519999999996,1.5,13,35.0,45.392946854319696,34.4,5.1,41,hot,2017-08-15 13:00:00
position_105,-2450.81,-449.86519999999996,1.5,13,35.2,46.154097859635485,34.4,5.1,41,hot,2017-08-15 13:00:00
position_106,-2450.81,-439.86519999999996,1.5,13,32.8,34.71030815569835,34.4,5.1,41,hot,2017-08-15 13:00:00
position_107,-2450.81,-429.86519999999996,1.5,13,34.9,44.73680638366904,34.4,5.1,41,hot,2017-08-15 13:00:00
position_108,-2450.81,-419.86519999999996,1.5,13,34.9,44.7614856801298,34.4,5.1,41,hot,2017-08-15 13:00:00
position_109,-2450.81,-409.86519999999996,1.5,13,34.8,44.28467647765005,34.4,5.1,41,hot,2017-08-15 13:00:00
position_110,-2450.81,-399.86519999999996,1.5,13,35.3,46.61293646031082,34.4,5.1,41,hot,2017-08-15 13:00:00
position_111,-2450.81,-389.86519999999996,1.5,13,35.5,47.84857909676428,34.4,5.1,41,hot,2017-08-15 13:00:00
position_112,-2450.81,-379.86519999999996,1.5,13,35.9,49.67297979310554,34.4,5.1,41,hot,2017-08-15 13:00:00
position_113,-2450.81,-369.86519999999996,1.5,13,35.9,49.41751608777024,34.4,5.1,41,hot,2017-08-15 13:00:00
position_114,-2450.81,-359.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_115,-2450.81,-349.86519999999996,1.5,13,35.4,46.96432778382231,34.4,5.1,41,hot,2017-08-15 13:00:00
position_116,-2450.81,-339.86519999999996,1.5,13,35.7,48.46565205934982,34.4,5.1,41,hot,2017-08-15 13:00:00
position_117,-2450.81,-329.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_118,-2450.81,-319.86519999999996,1.5,13,35.7,48.751280241958376,34.4,5.1,41,hot,2017-08-15 13:00:00
position_119,-2450.81,-309.86519999999996,1.5,13,36.6,52.618174690705786,34.4,5.1,41,hot,2017-08-15 13:00:00
position_120,-2450.81,-299.86519999999996,1.5,13,36.7,53.42157403864408,34.4,5.1,41,hot,2017-08-15 13:00:00
position_121,-2450.81,-289.86519999999996,1.5,13,36.7,53.124827838560805,34.4,5.1,41,hot,2017-08-15 13:00:00
position_122,-2450.81,-279.86519999999996,1.5,13,35.6,48.28695872445209,34.4,5.1,41,hot,2017-08-15 13:00:00
position_123,-2450.81,-269.86519999999996,1.5,13,33.3,37.1575735825063,34.4,5.1,41,hot,2017-08-15 13:00:00
position_124,-2450.81,-259.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_125,-2450.81,-249.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_126,-2450.81,-239.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_127,-2450.81,-229.86519999999996,1.5,13,36.2,50.76277003601503,34.4,5.1,41,hot,2017-08-15 13:00:00
position_128,-2450.81,-219.86519999999996,1.5,13,35.4,47.08662678486358,34.4,5.1,41,hot,2017-08-15 13:00:00
position_129,-2450.81,-209.86519999999996,1.5,13,32.8,34.70352717789081,34.4,5.1,41,hot,2017-08-15 13:00:00
position_130,-2450.81,-199.86519999999996,1.5,13,35.9,49.364993016970004,34.4,5.1,41,hot,2017-08-15 13:00:00
position_131,-2450.81,-189.86519999999996,1.5,13,40.1,68.52137486866077,34.4,5.1,41,very_hot,2017-08-15 13:00:00
position_132,-2440.81,-619.8652,1.5,13,37.1,55.215062357076306,34.4,5.1,41,hot,2017-08-15 13:00:00
position_133,-2440.81,-609.8652,1.5,13,37.3,55.87691537300075,34.4,5.1,41,hot,2017-08-15 13:00:00
position_134,-2440.81,-599.8652,1.5,13,37.1,55.10438261275124,34.4,5.1,41,hot,2017-08-15 13:00:00
position_135,-2440.81,-589.8652,1.5,13,36.9,54.19390814858781,34.4,5.1,41,hot,2017-08-15 13:00:00
position_136,-2440.81,-579.8652,1.5,13,36.9,54.352758435333705,34.4,5.1,41,hot,2017-08-15 13:00:00
position_137,-2440.81,-569.8652,1.5,13,37.0,54.44611873585819,34.4,5.1,41,hot,2017-08-15 13:00:00
position_138,-2440.81,-559.8652,1.5,13,37.0,54.59432348674575,34.4,5.1,41,hot,2017-08-15 13:00:00
position_139,-2440.81,-549.8652,1.5,13,36.9,54.31147594058573,34.4,5.1,41,hot,2017-08-15 13:00:00
position_140,-2440.81,-539.8652,1.5,13,36.9,54.33215557231652,34.4,5.1,41,hot,2017-08-15 13:00:00
position_141,-2440.81,-529.8652,1.5,13,36.9,53.980656502310666,34.4,5.1,41,hot,2017-08-15 13:00:00
position_142,-2440.81,-519.8652,1.5,13,36.0,50.01678231285566,34.4,5.1,41,hot,2017-08-15 13:00:00
position_143,-2440.81,-509.86519999999996,1.5,13,36.2,50.7353094264767,34.4,5.1,41,hot,2017-08-15 13:00:00
position_144,-2440.81,-499.86519999999996,1.5,13,35.9,49.54626317617534,34.4,5.1,41,hot,2017-08-15 13:00:00
position_145,-2440.81,-489.86519999999996,1.5,13,35.8,49.217459397648305,34.4,5.1,41,hot,2017-08-15 13:00:00
position_146,-2440.81,-479.86519999999996,1.5,13,35.2,46.16987480264605,34.4,5.1,41,hot,2017-08-15 13:00:00
position_147,-2440.81,-469.86519999999996,1.5,13,35.1,45.62301366442277,34.4,5.1,41,hot,2017-08-15 13:00:00
position_148,-2440.81,-459.86519999999996,1.5,13,34.9,44.93675151907585,34.4,5.1,41,hot,2017-08-15 13:00:00
position_149,-2440.81,-449.86519999999996,1.5,13,36.3,51.36287506483503,34.4,5.1,41,hot,2017-08-15 13:00:00
position_150,-2440.81,-439.86519999999996,1.5,13,32.8,34.555154077849174,34.4,5.1,41,hot,2017-08-15 13:00:00
position_151,-2440.81,-429.86519999999996,1.5,13,35.4,47.2992221576218,34.4,5.1,41,hot,2017-08-15 13:00:00
position_152,-2440.81,-419.86519999999996,1.5,13,35.5,47.41022596236375,34.4,5.1,41,hot,2017-08-15 13:00:00
position_153,-2440.81,-409.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_154,-2440.81,-399.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_155,-2440.81,-389.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_156,-2440.81,-379.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_157,-2440.81,-369.86519999999996,1.5,13,35.0,45.19329914601342,34.4,5.1,41,hot,2017-08-15 13:00:00
position_158,-2440.81,-359.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_159,-2440.81,-349.86519999999996,1.5,13,35.4,46.949452278518415,34.4,5.1,41,hot,2017-08-15 13:00:00
position_160,-2440.81,-339.86519999999996,1.5,13,35.5,47.565425830789465,34.4,5.1,41,hot,2017-08-15 13:00:00
position_161,-2440.81,-329.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_162,-2440.81,-319.86519999999996,1.5,13,35.5,47.69011129819047,34.4,5.1,41,hot,2017-08-15 13:00:00
position_163,-2440.81,-309.86519999999996,1.5,13,36.2,50.8974128312875,34.4,5.1,41,hot,2017-08-15 13:00:00
position_164,-2440.81,-299.86519999999996,1.5,13,36.1,50.49501213453322,34.4,5.1,41,hot,2017-08-15 13:00:00
position_165,-2440.81,-289.86519999999996,1.5,13,36.5,52.32845458629773,34.4,5.1,41,hot,2017-08-15 13:00:00
position_166,-2440.81,-279.86519999999996,1.5,13,36.3,51.23875592382871,34.4,5.1,41,hot,2017-08-15 13:00:00
position_167,-2440.81,-269.86519999999996,1.5,13,34.9,44.79168113554012,34.4,5.1,41,hot,2017-08-15 13:00:00
position_168,-2440.81,-259.86519999999996,1.5,13,34.9,44.586478226539086,34.4,5.1,41,hot,2017-08-15 13:00:00
position_169,-2440.81,-249.86519999999996,1.5,13,34.8,44.44022853309615,34.4,5.1,41,hot,2017-08-15 13:00:00
position_170,-2440.81,-239.86519999999996,1.5,13,35.6,48.175855186228176,34.4,5.1,41,hot,2017-08-15 13:00:00
position_171,-2440.81,-229.86519999999996,1.5,13,36.0,50.15912165838386,34.4,5.1,41,hot,2017-08-15 13:00:00
position_172,-2440.81,-219.86519999999996,1.5,13,35.7,48.73267687263535,34.4,5.1,41,hot,2017-08-15 13:00:00
position_173,-2440.81,-209.86519999999996,1.5,13,36.2,51.06612886475177,34.4,5.1,41,hot,2017-08-15 13:00:00
position_174,-2440.81,-199.86519999999996,1.5,13,36.7,53.11109753379165,34.4,5.1,41,hot,2017-08-15 13:00:00
position_175,-2440.81,-189.86519999999996,1.5,13,40.2,69.15588983398074,34.4,5.1,41,very_hot,2017-08-15 13:00:00
position_176,-2430.81,-619.8652,1.5,13,37.0,54.45757345128476,34.4,5.1,41,hot,2017-08-15 13:00:00
position_177,-2430.81,-609.8652,1.5,13,37.1,55.20815882033492,34.4,5.1,41,hot,2017-08-15 13:00:00
position_178,-2430.81,-599.8652,1.5,13,37.0,54.41528312666277,34.4,5.1,41,hot,2017-08-15 13:00:00
position_179,-2430.81,-589.8652,1.5,13,36.7,53.18307609252612,34.4,5.1,41,hot,2017-08-15 13:00:00
position_180,-2430.81,-579.8652,1.5,13,36.8,53.666468299492976,34.4,5.1,41,hot,2017-08-15 13:00:00
position_181,-2430.81,-569.8652,1.5,13,36.6,52.655699697268275,34.4,5.1,41,hot,2017-08-15 13:00:00
position_182,-2430.81,-559.8652,1.5,13,35.9,49.45391070552486,34.4,5.1,41,hot,2017-08-15 13:00:00
position_183,-2430.81,-549.8652,1.5,13,36.1,50.26745121884462,34.4,5.1,41,hot,2017-08-15 13:00:00
position_184,-2430.81,-539.8652,1.5,13,36.1,50.472850603959536,34.4,5.1,41,hot,2017-08-15 13:00:00
position_185,-2430.81,-529.8652,1.5,13,36.3,51.51124816487667,34.4,5.1,41,hot,2017-08-15 13:00:00
position_186,-2430.81,-519.8652,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_187,-2430.81,-509.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_188,-2430.81,-499.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_189,-2430.81,-489.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_190,-2430.81,-479.86519999999996,1.5,13,36.1,50.43178224858588,34.4,5.1,41,hot,2017-08-15 13:00:00
position_191,-2430.81,-469.86519999999996,1.5,13,36.5,52.15949343496579,34.4,5.1,41,hot,2017-08-15 13:00:00
position_192,-2430.81,-459.86519999999996,1.5,13,36.6,52.8876286304048,34.4,5.1,41,hot,2017-08-15 13:00:00
position_193,-2430.81,-449.86519999999996,1.5,13,36.7,53.43513599425917,34.4,5.1,41,hot,2017-08-15 13:00:00
position_194,-2430.81,-439.86519999999996,1.5,13,35.8,49.04927938942704,34.4,5.1,41,hot,2017-08-15 13:00:00
position_195,-2430.81,-429.86519999999996,1.5,13,35.8,49.09804429505643,34.4,5.1,41,hot,2017-08-15 13:00:00
position_196,-2430.81,-419.86519999999996,1.5,13,35.9,49.39156835521185,34.4,5.1,41,hot,2017-08-15 13:00:00
position_197,-2430.81,-409.86519999999996,1.5,13,35.7,48.59132986791263,34.4,5.1,41,hot,2017-08-15 13:00:00
position_198,-2430.81,-399.86519999999996,1.5,13,35.4,47.00296619291758,34.4,5.1,41,hot,2017-08-15 13:00:00
position_199,-2430.81,-389.86519999999996,1.5,13,34.4,42.178190947511425,34.4,5.1,41,hot,2017-08-15 13:00:00
position_200,-2430.81,-379.86519999999996,1.5,13,35.2,46.28613217547795,34.4,5.1,41,hot,2017-08-15 13:00:00
position_201,-2430.81,-369.86519999999996,1.5,13,34.8,44.27442824204697,34.4,5.1,41,hot,2017-08-15 13:00:00
position_202,-2430.81,-359.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_203,-2430.81,-349.86519999999996,1.5,13,35.3,46.610201614438836,34.4,5.1,41,hot,2017-08-15 13:00:00
position_204,-2430.81,-339.86519999999996,1.5,13,34.9,44.96158816011566,34.4,5.1,41,hot,2017-08-15 13:00:00
position_205,-2430.81,-329.86519999999996,1.5,13,32.7,34.4,34.4,5.1,41,hot,2017-08-15 13:00:00
position_206,-2430.81,-319.86519999999996,1.5,13,35.7,48.756839250873895,34.4,5.1,41,hot,2017-08-15 13:00:00
position_207,-2430.81,-309.86519999999996,1.5,13,36.3,51.52164926020898,34.4,5.1,41,hot,2017-08-15 13:00:00
position_208,-2430.81,-299.86519999999996,1.5,13,36.1,50.31044374367178,34.4,5.1,41,hot,2017-08-15 13:00:00
position_209,-2430.81,-289.86519999999996,1.5,13,36.7,53.06346233998476,34.4,5.1,41,hot,2017-08-15 13:00:00
position_210,-2430.81,-279.86519999999996,1.5,13,36.5,52.328546166738214,34.4,5.1,41,hot,2017-08-15 13:00:00
position_211,-2430.81,-269.86519999999996,1.5,13,35.7,48.47255559609122,34.4,5.1,41,hot,2017-08-15 13:00:00
position_212,-2430.81,-259.86519999999996,1.5,13,34.6,43.33684535607821,34.4,5.1,41,hot,2017-08-15 13:00:00
