position_id,x,y,z,hour,utci,mrt,air_temp,wind_speed,relative_humidity,comfort_category,datetime
position_0,-5069.535,-1048.031,1.5,0,34.6,49.46439232826523,32.0,3.2,41,hot,2017-08-15 13:00:00
position_1,-5059.535,-1048.031,1.5,0,34.6,49.46439232826523,32.0,3.2,41,hot,2017-08-15 13:00:00
position_2,-5049.535,-1048.031,1.5,0,34.6,49.46439232826523,32.0,3.2,41,hot,2017-08-15 13:00:00
position_3,-5039.535,-1048.031,1.5,0,34.5,49.05561036373095,32.0,3.2,41,hot,2017-08-15 13:00:00
position_4,-5029.535,-1048.031,1.5,0,34.2,47.862583190564294,32.0,3.2,41,hot,2017-08-15 13:00:00
position_5,-5019.535,-1048.031,1.5,0,34.0,47.17971411179687,32.0,3.2,41,hot,2017-08-15 13:00:00
position_6,-5009.535,-1048.031,1.5,0,34.3,48.47480119527049,32.0,3.2,41,hot,2017-08-15 13:00:00
position_7,-4999.535,-1048.031,1.5,0,34.1,47.31405918837659,32.0,3.2,41,hot,2017-08-15 13:00:00
position_8,-4989.535,-1048.031,1.5,0,34.5,49.225959619765256,32.0,3.2,41,hot,2017-08-15 13:00:00
position_9,-4979.535,-1048.031,1.5,0,34.6,49.46439232826523,32.0,3.2,41,hot,2017-08-15 13:00:00
position_10,-4969.535,-1048.031,1.5,0,34.6,49.46439232826523,32.0,3.2,41,hot,2017-08-15 13:00:00
position_11,-4959.535,-1048.031,1.5,0,34.6,49.586272046824405,32.0,3.2,41,hot,2017-08-15 13:00:00
position_12,-4949.535,-1048.031,1.5,0,34.6,49.586272046824405,32.0,3.2,41,hot,2017-08-15 13:00:00
position_13,-4939.535,-1048.031,1.5,0,34.4,48.75540517154562,32.0,3.2,41,hot,2017-08-15 13:00:00
position_14,-4929.535,-1048.031,1.5,0,34.6,49.35316606694283,32.0,3.2,41,hot,2017-08-15 13:00:00
position_15,-4919.535,-1048.031,1.5,0,34.6,49.46439232826523,32.0,3.2,41,hot,2017-08-15 13:00:00
position_16,-4909.535,-1048.031,1.5,0,34.6,49.35858907049367,32.0,3.2,41,hot,2017-08-15 13:00:00
position_17,-4899.535,-1048.031,1.5,0,34.5,49.10394765622868,32.0,3.2,41,hot,2017-08-15 13:00:00
position_18,-4889.535,-1048.031,1.5,0,34.0,47.02700036286145,32.0,3.2,41,hot,2017-08-15 13:00:00
position_19,-4879.535,-1048.031,1.5,0,34.4,48.88695410717968,32.0,3.2,41,hot,2017-08-15 13:00:00
position_20,-4869.535,-1048.031,1.5,0,34.6,49.586272046824405,32.0,3.2,41,hot,2017-08-15 13:00:00
position_21,-4859.535,-1048.031,1.5,0,34.6,49.586272046824405,32.0,3.2,41,hot,2017-08-15 13:00:00
position_22,-4849.535,-1048.031,1.5,0,34.6,49.34251260970604,32.0,3.2,41,hot,2017-08-15 13:00:00
position_23,-4839.535,-1048.031,1.5,0,34.6,49.586272046824405,32.0,3.2,41,hot,2017-08-15 13:00:00
position_24,-4829.535,-1048.031,1.5,0,34.6,49.586272046824405,32.0,3.2,41,hot,2017-08-15 13:00:00
position_25,-4819.535,-1048.031,1.5,0,34.4,48.59485737756359,32.0,3.2,41,hot,2017-08-15 13:00:00
