position_id,x,y,z,hour,utci,mrt,air_temp,wind_speed,relative_humidity,comfort_category,datetime
position_0,-2470.81,-619.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_1,-2470.81,-614.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_2,-2470.81,-609.8652,1.5,13,37.4,56.322034673125664,34.4,5.1,41,hot,2017-08-15 13:00:00
position_3,-2470.81,-604.8652,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_4,-2470.81,-599.8652,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_5,-2470.81,-594.8652,1.5,13,37.3,56.166880595276496,34.4,5.1,41,hot,2017-08-15 13:00:00
position_6,-2470.81,-589.8652,1.5,13,37.3,56.011726517427306,34.4,5.1,41,hot,2017-08-15 13:00:00
position_7,-2470.81,-584.8652,1.5,13,37.3,56.011726517427306,34.4,5.1,41,hot,2017-08-15 13:00:00
position_8,-2470.81,-579.8652,1.5,13,37.3,56.01850749523485,34.4,5.1,41,hot,2017-08-15 13:00:00
position_9,-2470.81,-574.8652,1.5,13,37.2,55.42501509506831,34.4,5.1,41,hot,2017-08-15 13:00:00
position_10,-2470.81,-569.8652,1.5,13,36.9,53.96675784838742,34.4,5.1,41,hot,2017-08-15 13:00:00
position_11,-2470.81,-564.8652,1.5,13,35.3,46.590896811685624,34.4,5.1,41,hot,2017-08-15 13:00:00
position_12,-2470.81,-559.8652,1.5,13,35.1,45.700658211435815,34.4,5.1,41,hot,2017-08-15 13:00:00
position_13,-2470.81,-554.8652,1.5,13,35.0,45.356062678171355,34.4,5.1,41,hot,2017-08-15 13:00:00
position_14,-2470.81,-549.8652,1.5,13,35.8,49.243007609083165,34.4,5.1,41,hot,2017-08-15 13:00:00
position_15,-2470.81,-544.8652,1.5,13,35.6,48.10553787864048,34.4,5.1,41,hot,2017-08-15 13:00:00
position_16,-2470.81,-539.8652,1.5,13,36.2,50.934937837849986,34.4,5.1,41,hot,2017-08-15 13:00:00
position_17,-2470.81,-534.8652,1.5,13,36.7,53.037772272326784,34.4,5.1,41,hot,2017-08-15 13:00:00
position_18,-2470.81,-529.8652,1.5,13,36.5,52.194574503031596,34.4,5.1,41,hot,2017-08-15 13:00:00
position_19,-2470.81,-524.8652,1.5,13,36.5,52.102250836326284,34.4,5.1,41,hot,2017-08-15 13:00:00
position_20,-2470.81,-519.8652,1.5,13,36.3,51.19649209213768,34.4,5.1,41,hot,2017-08-15 13:00:00
position_21,-2470.81,-514.8652,1.5,13,36.2,50.964961136598085,34.4,5.1,41,hot,2017-08-15 13:00:00
position_22,-2470.81,-509.86519999999996,1.5,13,36.8,53.666468299492976,34.4,5.1,41,hot,2017-08-15 13:00:00
position_23,-2470.81,-504.86519999999996,1.5,13,36.7,53.38004642602842,34.4,5.1,41,hot,2017-08-15 13:00:00
position_24,-2470.81,-499.86519999999996,1.5,13,36.7,53.266037472266504,34.4,5.1,41,hot,2017-08-15 13:00:00
position_25,-2470.81,-494.86519999999996,1.5,13,36.6,52.72500536604858,34.4,5.1,41,hot,2017-08-15 13:00:00
position_26,-2470.81,-489.86519999999996,1.5,13,36.6,52.941830662644904,34.4,5.1,41,hot,2017-08-15 13:00:00
position_27,-2470.81,-484.86519999999996,1.5,13,36.4,51.76991852071497,34.4,5.1,41,hot,2017-08-15 13:00:00
position_28,-2470.81,-479.86519999999996,1.5,13,36.1,50.30367599059494,34.4,5.1,41,hot,2017-08-15 13:00:00
position_29,-2470.81,-474.86519999999996,1.5,13,35.8,48.92543204806265,34.4,5.1,41,hot,2017-08-15 13:00:00
position_30,-2470.81,-469.86519999999996,1.5,13,35.1,45.80122776851648,34.4,5.1,41,hot,2017-08-15 13:00:00
position_31,-2470.81,-464.86519999999996,1.5,13,35.1,45.65529860697152,34.4,5.1,41,hot,2017-08-15 13:00:00
position_32,-2470.81,-459.86519999999996,1.5,13,35.1,45.654363060961316,34.4,5.1,41,hot,2017-08-15 13:00:00
position_33,-2470.81,-454.86519999999996,1.5,13,35.1,45.80377496865771,34.4,5.1,41,hot,2017-08-15 13:00:00
position_34,-2470.81,-449.86519999999996,1.5,13,35.9,49.69715698307095,34.4,5.1,41,hot,2017-08-15 13:00:00
position_35,-2470.81,-444.86519999999996,1.5,13,36.3,51.47001146034893,34.4,5.1,41,hot,2017-08-15 13:00:00
position_36,-2470.81,-439.86519999999996,1.5,13,36.2,50.94179558401483,34.4,5.1,41,hot,2017-08-15 13:00:00
position_37,-2470.81,-434.86519999999996,1.5,13,35.3,46.44930468945154,34.4,5.1,41,hot,2017-08-15 13:00:00
position_38,-2470.81,-429.86519999999996,1.5,13,35.1,45.686927906666654,34.4,5.1,41,hot,2017-08-15 13:00:00
position_39,-2470.81,-424.86519999999996,1.5,13,36.1,50.22743430937333,34.4,5.1,41,hot,2017-08-15 13:00:00
position_40,-2470.81,-419.86519999999996,1.5,13,35.9,49.465348434320056,34.4,5.1,41,hot,2017-08-15 13:00:00
position_41,-2470.81,-414.86519999999996,1.5,13,35.9,49.548845162318074,34.4,5.1,41,hot,2017-08-15 13:00:00
position_42,-2470.81,-409.86519999999996,1.5,13,36.4,52.00424777667613,34.4,5.1,41,hot,2017-08-15 13:00:00
position_43,-2470.81,-404.86519999999996,1.5,13,36.9,54.16327118969818,34.4,5.1,41,hot,2017-08-15 13:00:00
position_44,-2470.81,-399.86519999999996,1.5,13,36.9,54.32537459450898,34.4,5.1,41,hot,2017-08-15 13:00:00
position_45,-2470.81,-394.86519999999996,1.5,13,37.0,54.77049389463387,34.4,5.1,41,hot,2017-08-15 13:00:00
position_46,-2470.81,-389.86519999999996,1.5,13,37.0,54.77049389463387,34.4,5.1,41,hot,2017-08-15 13:00:00
position_47,-2470.81,-384.86519999999996,1.5,13,37.0,54.466966716743066,34.4,5.1,41,hot,2017-08-15 13:00:00
position_48,-2470.81,-379.86519999999996,1.5,13,36.9,54.170220516659796,34.4,5.1,41,hot,2017-08-15 13:00:00
position_49,-2470.81,-374.86519999999996,1.5,13,36.9,54.17700149446734,34.4,5.1,41,hot,2017-08-15 13:00:00
position_50,-2470.81,-369.86519999999996,1.5,13,36.9,54.31164428973981,34.4,5.1,41,hot,2017-08-15 13:00:00
position_51,-2470.81,-364.86519999999996,1.5,13,37.0,54.62195244543817,34.4,5.1,41,hot,2017-08-15 13:00:00
position_52,-2470.81,-359.86519999999996,1.5,13,36.9,54.13926234853053,34.4,5.1,41,hot,2017-08-15 13:00:00
position_53,-2470.81,-354.86519999999996,1.5,13,36.8,53.49202490831543,34.4,5.1,41,hot,2017-08-15 13:00:00
position_54,-2470.81,-349.86519999999996,1.5,13,36.7,53.23205581451519,34.4,5.1,41,hot,2017-08-15 13:00:00
position_55,-2470.81,-344.86519999999996,1.5,13,35.2,46.40828212429812,34.4,5.1,41,hot,2017-08-15 13:00:00
position_56,-2470.81,-339.86519999999996,1.5,13,35.3,46.597677789493176,34.4,5.1,41,hot,2017-08-15 13:00:00
position_57,-2470.81,-334.86519999999996,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_58,-2470.81,-329.86519999999996,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_59,-2470.81,-324.86519999999996,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_60,-2470.81,-319.86519999999996,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_61,-2470.81,-314.86519999999996,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_62,-2470.81,-309.86519999999996,1.5,13,36.6,52.91948755854276,34.4,5.1,41,hot,2017-08-15 13:00:00
position_63,-2470.81,-304.86519999999996,1.5,13,37.0,54.63218519161641,34.4,5.1,41,hot,2017-08-15 13:00:00
position_64,-2470.81,-299.86519999999996,1.5,13,37.1,54.92547962332898,34.4,5.1,41,hot,2017-08-15 13:00:00
position_65,-2470.81,-294.86519999999996,1.5,13,37.1,55.24273710598896,34.4,5.1,41,hot,2017-08-15 13:00:00
position_66,-2470.81,-289.86519999999996,1.5,13,37.1,55.08080205033223,34.4,5.1,41,hot,2017-08-15 13:00:00
position_67,-2470.81,-284.86519999999996,1.5,13,37.0,54.79761780586405,34.4,5.1,41,hot,2017-08-15 13:00:00
position_68,-2470.81,-279.86519999999996,1.5,13,36.9,53.9669261975415,34.4,5.1,41,hot,2017-08-15 13:00:00
